flag; num; time_ms; gps_time_s; gps_time_us; crc
8;821;560686;51671;0;14678
8;822;561370;51672;0;18613
8;823;561938;51673;0;24756
8;824;562625;51673;0;20227
8;825;563229;51674;0;33114
8;826;563912;51675;0;42377
8;827;564507;51675;0;45691
8;828;565165;51676;0;23993
8;829;565781;51677;0;23861
8;830;566454;51677;0;57596
8;831;567057;51678;0;59224
8;832;567730;51678;0;40534
8;833;568298;51679;0;62447
8;834;568991;51680;0;57933
8;835;569582;51680;0;6318
8;836;570268;51681;0;54747
8;837;570844;51681;0;33294
8;838;571528;51682;0;2972
8;839;572115;51683;0;25530
8;840;572797;51683;0;1533
8;841;573400;51684;0;54167
8;842;574067;51685;0;21443
8;843;574667;51685;0;12719
8;844;575351;51686;0;5131
8;845;575952;51687;0;46985
8;846;576649;51687;0;16873
8;847;577217;51688;0;34065
8;848;577900;51689;0;36958
8;849;578488;51689;0;1769
8;850;579171;51690;0;38071
8;851;579748;51690;0;49926
8;852;580435;51691;0;43635
8;853;581026;51692;0;51866
8;854;581710;51692;0;40131
8;855;582314;51693;0;5207
8;856;582982;51694;0;25039
8;857;583573;51694;0;65331
8;858;584255;51695;0;51072
8;859;584845;51696;0;23768
8;860;585520;51696;0;45692
8;861;586104;51697;0;20065
8;862;586781;51698;0;16376
8;863;587371;51698;0;27556
8;864;588053;51699;0;62263
8;865;588617;51699;0;54409
8;866;589294;51700;0;41868
8;867;590368;51701;0;11783
8;868;591066;51702;0;21715
8;869;591666;51702;0;21921
8;870;592379;51703;0;41879
8;871;592986;51704;0;20302
8;872;593682;51705;0;11746
8;873;594296;51705;0;65126
8;874;594998;51706;0;65384
8;875;595615;51706;0;63590
8;876;596296;51707;0;3194
8;877;596912;51708;0;9481
8;878;597613;51708;0;29724
8;879;598242;51709;0;24017
8;880;598917;51710;0;2927
8;881;599507;51710;0;24788
8;882;600203;51711;0;28828
8;883;600817;51712;0;32369
8;884;601527;51712;0;61876
8;885;602129;51713;0;31876
