flag; num; time_ms; bmp_temp; bmp_press; fhotores; status; crc
32;574;88034;2834;99453;2063;18433;36896
32;575;88137;2834;99453;2024;18433;44249
32;576;88148;2834;99453;2024;18433;38829
32;577;88251;2834;99453;1990;18433;53502
32;578;88262;2834;99453;1990;18433;9627
32;579;88365;2834;99453;1973;18433;38579
32;580;88397;2834;99453;1966;18433;19940
32;581;88512;2834;99454;1953;18433;50058
32;582;88542;2834;99454;1946;18433;16330
32;583;88760;2834;99457;1933;18433;15257
32;584;88771;2834;99457;1940;18433;48156
32;585;88874;2835;99458;1940;18433;34671
32;586;88885;2835;99458;1940;18433;12984
32;587;88988;2835;99460;1943;18433;56112
32;588;88999;2835;99460;1946;18433;47065
32;589;89105;2836;99459;1949;18433;22555
32;590;89116;2836;99459;1956;18433;615
32;591;89219;2836;99459;1959;18433;15227
32;592;89376;2837;99458;1963;18433;1214
32;593;89479;2837;99457;1949;18433;54568
32;594;89490;2837;99457;1956;18433;41672
32;595;89592;2837;99456;1949;18433;14712
32;596;89603;2837;99456;1949;18433;57203
32;597;89706;2837;99456;1949;18433;20781
32;598;89737;2836;99456;1953;18433;55635
32;599;89839;2836;99456;1956;18433;28709
32;600;89850;2836;99456;1953;18433;62793
32;601;90071;2836;99456;1943;18433;58142
32;602;90082;2835;99455;1946;18433;26524
32;603;90194;2835;99455;1983;18433;45691
32;604;90451;2834;99455;2669;18433;35993
32;605;90555;2834;99455;2845;18433;23453
32;606;90585;2834;99455;2862;18433;17495
32;607;90687;2834;99455;2940;18433;20972
32;608;90698;2834;99455;2958;18433;51598
32;609;90915;2834;99455;3084;18433;46963
32;610;90926;2834;99455;3084;18433;12945
32;611;91040;2834;99455;3071;18433;44230
32;612;91067;2834;99455;3008;18433;40033
32;613;91169;2834;99454;2407;18433;57477
32;614;91199;2834;99454;2350;18433;46040
32;615;91302;2834;99454;2253;18433;12921
32;616;91314;2834;99454;2274;18433;37777
32;617;91416;2834;99454;2333;18433;54621
32;618;91551;2834;99454;2648;18433;37345
32;619;91653;2834;99454;2989;18433;28280
32;620;91664;2834;99454;2995;18433;65321
32;621;91766;2834;99455;2964;18433;52138
32;622;91808;2834;99455;2904;18433;28192
32;623;91910;2834;99455;2805;18433;42609
32;624;91921;2834;99455;2816;18433;24232
32;625;92023;2834;99454;2805;18433;6256
32;626;92034;2834;99454;2794;18433;40521
32;627;92254;2835;99455;2587;18433;39592
32;628;92265;2835;99455;2562;18433;12761
32;629;92367;2835;99455;1898;18433;50795
